Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P2_B128,2,128,57.14,74.09,5.896,6.806,S2-16D_V2_002011_20260728,B11
LZW_P2_B256,2,256,56.38,74.43,6.904,4.112,S2-16D_V2_002011_20260728,B11
LZW_P2_B512,2,512,56.11,74.56,8.876,3.902,S2-16D_V2_002011_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,2.62,S2-16D_V2_001014_20260728,B04
LZW_P1_B128,1,128,34.93,84.16,5.867,3.3,S2-16D_V2_001014_20260728,B04
LZW_P1_B256,1,256,34.3,84.45,6.245,1.378,S2-16D_V2_001014_20260728,B04
LZW_P1_B512,1,512,34.11,84.53,2.181,1.299,S2-16D_V2_001014_20260728,B04
LZW_P2_B128,2,128,34.9,84.17,3.04,2.265,S2-16D_V2_001014_20260728,B04
LZW_P2_B256,2,256,34.12,84.53,2.617,2.527,S2-16D_V2_001014_20260728,B04
LZW_P2_B512,2,512,33.82,84.67,3.88,2.392,S2-16D_V2_001014_20260728,B04
RAW_SemComp,0,256,220.51,0.0,0.0,2.206,S2-16D_V2_002011_20260728,B02
LZW_P1_B128,1,128,59.18,73.16,11.005,5.595,S2-16D_V2_002011_20260728,B02
LZW_P1_B256,1,256,59.22,73.15,9.702,3.102,S2-16D_V2_002011_20260728,B02
LZW_P1_B512,1,512,59.65,72.95,3.973,0.689,S2-16D_V2_002011_20260728,B02
LZW_P2_B128,2,128,53.71,75.64,3.895,1.766,S2-16D_V2_002011_20260728,B02
LZW_P2_B256,2,256,53.07,75.93,4.682,1.804,S2-16D_V2_002011_20260728,B02
LZW_P2_B512,2,512,52.9,76.01,6.387,2.849,S2-16D_V2_002011_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,3.797,S2-16D_V2_002012_20260728,B11
LZW_P1_B128,1,128,151.86,31.13,18.712,10.066,S2-16D_V2_002012_20260728,B11
LZW_P1_B256,1,256,152.67,30.77,7.639,2.164,S2-16D_V2_002012_20260728,B11
LZW_P1_B512,1,512,153.92,30.2,3.852,2.425,S2-16D_V2_002012_20260728,B11
LZW_P2_B128,2,128,134.07,39.2,8.544,6.389,S2-16D_V2_002012_20260728,B11
LZW_P2_B256,2,256,133.3,39.55,11.734,3.605,S2-16D_V2_002012_20260728,B11
