Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
ZSTD_L15_P2,15,2,34.43,84.39,5.192,0.504,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,0.433,S2-16D_V2_001014_20260728,B8A
ZSTD_L01_P2,1,2,35.07,84.1,0.396,0.558,S2-16D_V2_001014_20260728,B8A
ZSTD_L03_P2,3,2,34.99,84.13,0.653,0.559,S2-16D_V2_001014_20260728,B8A
ZSTD_L05_P2,5,2,34.65,84.29,1.764,3.256,S2-16D_V2_001014_20260728,B8A
ZSTD_L07_P2,7,2,34.63,84.3,2.145,1.133,S2-16D_V2_001014_20260728,B8A
ZSTD_L09_P2,9,2,34.63,84.3,1.824,1.139,S2-16D_V2_001014_20260728,B8A
ZSTD_L11_P2,11,2,34.63,84.3,3.773,0.559,S2-16D_V2_001014_20260728,B8A
ZSTD_L13_P2,13,2,34.5,84.36,4.609,0.602,S2-16D_V2_001014_20260728,B8A
ZSTD_L15_P2,15,2,34.5,84.36,5.242,0.633,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.845,S2-16D_V2_002011_20260728,B08
ZSTD_L01_P2,1,2,55.72,74.73,0.478,1.405,S2-16D_V2_002011_20260728,B08
ZSTD_L03_P2,3,2,55.73,74.73,0.44,0.488,S2-16D_V2_002011_20260728,B08
ZSTD_L05_P2,5,2,55.73,74.73,0.587,1.478,S2-16D_V2_002011_20260728,B08
ZSTD_L07_P2,7,2,55.72,74.73,2.065,0.663,S2-16D_V2_002011_20260728,B08
ZSTD_L09_P2,9,2,55.72,74.73,0.76,0.612,S2-16D_V2_002011_20260728,B08
ZSTD_L11_P2,11,2,55.72,74.73,1.076,0.604,S2-16D_V2_002011_20260728,B08
ZSTD_L13_P2,13,2,55.66,74.76,11.603,2.179,S2-16D_V2_002011_20260728,B08
ZSTD_L15_P2,15,2,55.66,74.76,7.51,0.618,S2-16D_V2_002011_20260728,B08
RAW_SemComp,0,0,110.26,0.0,0.0,0.225,S2-16D_V2_002012_20260728,SCL
ZSTD_L01_P2,1,2,0.78,99.29,0.187,0.298,S2-16D_V2_002012_20260728,SCL
ZSTD_L03_P2,3,2,0.61,99.44,0.211,0.264,S2-16D_V2_002012_20260728,SCL
ZSTD_L05_P2,5,2,0.57,99.48,0.264,0.238,S2-16D_V2_002012_20260728,SCL
ZSTD_L07_P2,7,2,0.53,99.52,0.306,0.255,S2-16D_V2_002012_20260728,SCL
ZSTD_L09_P2,9,2,0.51,99.54,0.336,0.259,S2-16D_V2_002012_20260728,SCL
ZSTD_L11_P2,11,2,0.51,99.54,0.368,0.212,S2-16D_V2_002012_20260728,SCL
ZSTD_L13_P2,13,2,0.5,99.55,0.455,0.222,S2-16D_V2_002012_20260728,SCL
ZSTD_L15_P2,15,2,0.5,99.55,0.703,0.279,S2-16D_V2_002012_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.37,S2-16D_V2_002012_20260728,B03
ZSTD_L01_P2,1,2,120.55,45.33,0.636,0.657,S2-16D_V2_002012_20260728,B03
ZSTD_L03_P2,3,2,114.04,48.28,2.652,0.812,S2-16D_V2_002012_20260728,B03
ZSTD_L05_P2,5,2,112.41,49.02,7.305,1.081,S2-16D_V2_002012_20260728,B03
