Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L2_P2,2,2,37.39,83.04,1.49,0.61,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L3_P2,3,2,37.39,83.04,1.491,0.613,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L5_P2,5,2,37.63,82.93,1.564,0.606,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L6_P2,6,2,37.63,82.93,1.534,0.608,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L7_P2,7,2,37.61,82.94,2.146,0.674,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L8_P2,8,2,37.38,83.05,2.149,0.697,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L9_P2,9,2,36.44,83.47,10.809,0.701,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.408,S2-16D_V2_002011_20260728,B07
DEFLATE_L1_P2,1,2,51.98,76.43,1.519,0.781,S2-16D_V2_002011_20260728,B07
DEFLATE_L2_P2,2,2,53.37,75.8,1.756,0.778,S2-16D_V2_002011_20260728,B07
DEFLATE_L3_P2,3,2,53.37,75.8,1.734,0.79,S2-16D_V2_002011_20260728,B07
DEFLATE_L5_P2,5,2,53.41,75.78,2.017,0.826,S2-16D_V2_002011_20260728,B07
DEFLATE_L6_P2,6,2,53.41,75.78,2.009,0.823,S2-16D_V2_002011_20260728,B07
DEFLATE_L7_P2,7,2,53.37,75.8,2.312,0.786,S2-16D_V2_002011_20260728,B07
DEFLATE_L8_P2,8,2,53.36,75.8,2.259,0.804,S2-16D_V2_002011_20260728,B07
DEFLATE_L9_P2,9,2,52.44,76.22,8.021,0.812,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,0.351,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L1_P2,1,2,55.15,74.99,1.609,0.768,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L2_P2,2,2,56.61,74.33,1.967,0.798,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L3_P2,3,2,56.61,74.33,1.95,0.841,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L5_P2,5,2,56.86,74.21,2.135,0.756,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L6_P2,6,2,56.86,74.21,1.991,0.808,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L7_P2,7,2,56.84,74.22,2.547,0.755,S2-16D_V2_002011_20260728,NDVI
DEFLATE_L8_P2,8,2,56.64,74.31,2.553,0.841,S2-16D_V2_002011_20260728,NDVI
